Revised,Number,Vocabulary,Meaning
,683,consistent,着実な、安定した、首尾一貫した
,684,primitive,原始的な；未開の
,685,mature,成熟した；熟した
,686,unfamiliar,（～に）不慣れな（with）；（～に）（よく）知られていない（to）
,687,impractical,実用的ではない、非現実的な
,688,unpredictable,変わりやすい、予測できない
,689,misleading,誤解させる、紛らわしい
,690,plentiful,豊富な、十分な
,691,Mediterranean,地中海(沿岸地域)の
,692,unsafe,安全でない、危険な
,693,bare,露出した、裸の
,694,feeble,病弱な、(体が)弱々しい
,695,horrible,実にひどい、ぞっとする
,696,scenic,景色の良い
,697,supplementary,補足の、追加の
,698,nosy,詮索好きな、おせっかいな
,699,intermediate,中級の；中間の
,700,universal,(あらゆる人に)共通の、全員の、普遍的な
,701,capture,を捕らえる、を捕虜にする
,702,arise,起こる、出現する
,703,implement,を実行［実施］する
,704,reproduce,を複製する；を繁殖させる；繁殖する
,705,seize,をつかむ；を奪い取る；を没収する
,706,dominate,を支配する、優勢である
,707,complicate,を複雑にする
,708,scan,を走査する；をざっと見る；を注意深く調べる
,709,negotiate,交渉する；を（交渉して）取り決める
,710,illustrate,を説明する、を例示する
,711,encounter,に遭遇する
,712,confine,を限定する；〔通例受身形で〕閉じ込められる
,713,transmit,を伝える；（電波・信号など）を送る
,714,administer,を管理する、を経営する、を治める、(治療)を施す
,715,ease,を和らげる、緩和する
,716,resume,（を）再開する；を取り戻す
,717,pursue,を追跡する、を追求する
,718,decay,腐敗する（≒rot）；（徐々に）衰える
,719,shrink,縮む，縮小する；減少する；ひるむ
,720,cherish,を大切にする；を心に抱く
,721,launch,を売り出す、を開始する、(ロケットなど)を発射する
,722,accommodate,を収容する；を（～に）適応させる（to）
,723,withstand,に耐える
,724,halt,を止める；止まる
,725,transform,を大きく変える
,726,transplant,を移植する；を移住させる
,727,retail,小売り（⇔wholesale 卸売り）
,728,abandon,を捨てる、を放棄する
,729,developer,宅地造成業者、開発者
,730,circulation,循環；流通；（新聞・雑誌の）発行部数
,731,appliance,(特に家庭用の)器具
,732,bond,きずな、債券、契約
,733,circuit,周回すること、回路、巡回
,734,innovation,(技術)革新、新機軸
,735,infant,幼児、乳児
,736,transaction,（商）取引；（人と人との）交流
,737,celebrity,有名人、著名人
,738,checkup,健康診断、検査
,739,makeup,化粧；化粧品；構成；性質
,740,respondent,(調査・アンケートなどの)回答者
,741,well-being,健康、幸福
,742,flaw,欠点、傷、ひび
,743,strain,に負担をかける；を緊張させる；を漉す
,744,rivalry,ライバル意識、競争
,745,publicity,一般に知られること、評判、宣伝
,746,consent,同意，承諾
,747,addiction,依存
,748,profession,職業；専門職；同業者仲間
,749,sacrifice,犠牲；いけにえ
,750,nerve,神経；〔～s〕神経過敏；（...する）度胸（to do）
,751,assumption,(確証のない)仮定、想定、思い込み
,752,context,文脈、背景、状況
,753,era,時代
,754,trait,特徴、特色
,755,voucher,クーポン券、商品券
,756,draft,下書き；為替手形；隙間風
,757,blaze,炎、強いか輝き
,758,currency,通貨、普及
,759,stance,立場、対処の姿勢
,760,fluid,流動体，液体
,761,dispute,に異議を唱える；（を）議論する
,762,counterpart,相当する物［人］
,763,perception,認識、知覚
,764,custody,親権、保護、管理、拘留
,765,venue,会場、開催地
,766,dread,をひどく恐れる
,767,incentive,動機（づけ）；報奨金
,768,disgust,をむかつかせる；に愛想を尽かせる
,769,province,州，省；〔the ～s〕地方；分野
,770,proponent,支持者
,771,commercial,商業(上)の、営利的な
,772,excessive,過度の、法外な
,773,vulnerable,（攻撃などに）弱い，もろい；傷つきやすい
,774,protective,保護する、守ろうとする
,775,secure,安全な、確かな
,776,obvious,明らかな
,777,reluctant,気が進まない，嫌がる（⇔willing）
,778,confident,確信して、自信に満ちた
,779,intelligent,知能の高い、利口な
,780,barren,不毛の、作物ができない
,781,epidemic,流行（病）；蔓延
,782,reliable,信頼できる
,783,curious,好奇心の強い、詮索好きな
,784,hasty,急ぎの、早まった
,785,behavioral,行動の
,786,bulky,かさばった、扱いにくいほど大きい
,787,faulty,(機械・装置などが)欠陥のある
,788,hectic,やたらと忙しい
,789,knowledgeable,よく知っている、物知りの
,790,tense,張り詰めた，緊張した
,791,intact,損なわれていない，手つかずの
,792,comprehensive,包括的な、広範囲にわたる
,793,hesitant,ためらいがちな
,794,scarce,乏しい；珍しい
,795,defensive,防御的な
,796,permanently,永遠に、いつも
,797,nonetheless,それにもかかわらず，それでもなお
,798,primarily,主として、初めに
,799,intentionally,故意に、意図的に
,800,abruptly,突然に
,801,outsource,を外注する、を業務委託する
,802,applaud,に拍手する、を賞賛する
,803,bribe,賄賂
,804,replicate,(同一実験など)を繰り返す、を複製する
,805,stroll,散歩する、ぶらぶら歩く
,806,swell,膨張する，腫れる；を膨らませる
,807,uphold,を支持する、を確認する、を維持する
,808,vomit,吐く、もどす
,809,expire,期限が切れる
,810,recruit,を募る；に新人を補充する
,811,enhance,を高める、を増す
,812,accumulate,を蓄積する，集める；積もる
,813,designate,を指定する；を任命する
,814,conceal,を隠す（≒hide）；を秘密にする
,815,disregard,を無視する；を軽視する
,816,accelerate,を加速させる，促進する；加速する
,817,revive,を復活させる；復活する
,818,enact,(法案)を制定する、を通過させる
,819,exert,を及ぼす；（力など）を行使する
,820,leak,漏れる；を漏らす
,821,jail,刑務所，拘置所（≒prison）
,822,reform,を改革する、を改善する
,823,declare,を宣言する、を断言する
,824,outline,の要点を述べる；の輪郭を描く
,825,annoy,をいらいらさせる、を悩ます
,826,interfere,干渉する，介入する；邪魔する
,827,nest,(鳥の)巣
,828,founder,創設者
,829,biologist,生物学者
,830,arrangement,準備、配置、取り決め
,831,landfill,ごみ埋め立て地
,832,trunk,(木の)幹、(象の)鼻、(自動車の)
,833,principle,(個人の)主義、信条、原則
,834,series,連続、一続き
,835,independence,独立、自立
,836,exploration,探検、調査
,837,justice,正義、公正、司法、裁判
,838,humanity,人類
,839,involvement,関与、巻き込まれること
,840,accounting,経理、会計(学)
,841,discrimination,（～に対する）差別（against）；区別
,842,inequality,不平等
,843,master,修士
,844,millennium,千年間，千年紀
,845,refusal,拒否、拒絶
,846,wound,（銃弾・刃物などによる）傷；痛手
,847,absence,不在、欠席
,848,distribution,分配、配給
,849,wilderness,荒野；（庭・町などの）放置された部分
,850,concentration,濃度、集中、専念
,851,craft,工芸品、(手先でする)作業
,852,crust,地殻、パンの耳、(動物の)甲殻
,853,basement,地階、地下室
,854,janitor,(アパート・ビル・学校などの)用務員、管理人
,855,prejudice,偏見、先入観
,856,prosperity,繁栄、繁盛
,857,robbery,強盗(事件)
,858,warranty,保証(書)
,859,appetite,食欲；欲求
,860,bullet,銃弾
,861,preparation,準備、支度
,862,citizenship,市民権、公民権、市民[国民]であること
,863,stale,(パンなどが)堅くなった、鮮度の落ちた、陳腐な
,864,disadvantaged,(経済的・社会的に)恵まれない
,865,ongoing,継続している，進行中の
,866,sturdy,頑丈な、たくましい、不屈の
,867,unauthorized,権限のない、(公的に)認可されていない
,868,verbal,口頭での、言葉の[に関する]
,869,weary,疲れ果てた；（～に）うんざりした（of）
,870,equivalent,相当する、同等の
,871,intense,極度の、激しい
,872,consecutive,連続した
,873,noticeable,著しい、目立つ
,874,crucial,重大な、決定的な
,875,electrical,電気の、電気を扱う
,876,steep,（傾斜が）急な；急激な；法外な
,877,civil,(軍人・官史に対して)民間の、一般市民の
,878,supreme,最高の
,879,elite,えり抜きの
,880,broad,(幅の)広い、広範囲な
,881,industrial,産業の、工業の
,882,allied,連合の、同盟を組んだ
,883,external,外部の；対外的な
,884,mere,ほんの、単なる
,885,latter,後半の、後ろの方の、後者の
,886,presidential,大統領の[による]、社長の
,887,ethical,倫理(上)の、道徳の
,888,realistic,現実的な、実際的な
,889,harmless,害のない
,890,underlying,潜在的な、根本的な
,891,urgent,緊急の
,892,complimentary,無料の、賞賛する
,893,eager,熱望して、熱心な
,894,loudly,大声で、騒々しく
,895,accordingly,それ相応に、従って、そんなわけで
,896,occasionally,ときどき
,897,smoothly,順調に、滑らかに
,898,frankly,率直に、正直に
,899,notably,とりわけ
,900,continuously,連続して、継続して
,901,compel,（人）に強いて～させる
,902,distinguish,区別する、を区別する
,903,heighten,を高める、を増大させる
,904,ruin,を台無しにする、を駄目にする
,905,equip,に備えつける
,906,export,を輸出する
,907,glance,ちらりと見る
,908,notify,に知らせる
,909,overdo,を使い過ぎる、をやり過ぎる
,910,pierce,に穴を開ける、を突き通す
,911,overestimate,を過大評価する[見積もる]
,912,raid,(警察が)に手入れを行う、(軍隊が)を襲撃する
,913,recall,を思い出す、(商品など)を回収する
,914,simplify,を簡単にする
,915,wrinkle,(顔などに)しわを寄せる、(衣装など)にしわを作る
,916,conspire,陰謀を企てる、共謀する
,917,imitate,をまねる、を見習う
,918,inhale,を吸い込む
,919,overrate,過大評価される
,920,sympathize,同情する
,921,glide,滑らかに動く、音もなく移動する
,922,kidnap,を誘拐する
,923,pretend,のつもりになる、～するふりをする
,924,simmer,(煮立たない程度に)こことこ煮える[≒boil gently]
,925,thaw,解凍される、溶ける
,926,unfold,（閉じたもの）を開く；を明らかにする；開く；明らかになる
,927,detain,を勾留[留置]する、(人)を引き留める
,928,puncture,(タイヤ)をパンクさせる、に穴をあける
,929,strangle,(発展・活動など)を抑圧する、を窒息させる
,930,hygiene,衛生（状態）；健康法
,931,oppression,抑圧、虐待
,932,collaboration,合作、共同、協力
,933,harbor,港、避難所
,934,lawn,芝生
,935,pedestrian,歩行者
,936,racism,人種差別(主義[政策])
,937,summit,(先進国)首脳会議、サミット、(山などの)頂上
,938,bug,病原菌（が起こす病気）；虫；盗聴器；（機械・プログラムの）欠陥
,939,dirt,汚れ、泥、ほこり
,940,maternity,妊産婦の、母であること
,941,stroke,脳卒中；（ボールを）打つこと；（雷などの）一撃
,942,tale,(事実・伝説・架空の)話、(文学作品としての)物語
,943,certainty,確実性、確信
,944,imbalance,不均衡、アンバランス
,945,incidence,発生(率)
,946,pit,穴、くぼみ
,947,texture,感触，手触り；本質；質感
,948,thumb,(手の)親指
,949,undergraduate,学部学生
,950,wisdom,知恵、賢明さ
,951,bride,花嫁、新婦
,952,dictator,独裁者、専制君主
,953,signature,署名；特徴
,954,testament,あかし、証拠
,955,attachment,添付ファイル、添付書類
,956,bachelor,独身の男性、学士
,957,blister,水ぶくれ
,958,blockade,(港などの)封鎖、経済[通信]封鎖
,959,condo,分譲マンション
,960,invoice,明細請求書、納品書
,961,leisure,自由な時間、余暇
,962,meditation,瞑想、黙想
,963,procession,(儀式などの)行列、行進
,964,unrest,(社会的な)混乱、不安、(心の)動揺
,965,equator,赤道
,966,exhausted,疲れ果てた
,967,problematic,問題のある、疑わしい
,968,desirable,望ましい
,969,geological,地質(学)上の
,970,rash,早まった、軽率な
,971,solitary,ひとりの、孤独の
,972,uneven,でこぼこな、平でない
,973,antique,骨董の，アンティークの；古風な
,974,dense,密集した，密度の高い；（霧などが）濃い
,975,economical,経済的な、安上がりな
,976,fictional,架空の、フィクションの
,977,gradual,徐々の，緩やかな
,978,intimate,親密な；密接な
,979,lengthy,長い、長時間の
,980,ultimate,最終の、究極の
,981,victorious,勝利を得た、勝ち誇った
,982,witty,機知に富んだ
,983,blurry,ぼやけた、不鮮明な
,984,exceptional,例外的に優れた、まれな
,985,finite,有限の、限られた
,986,on-the-job,実地の、職場での
,987,vacant,空いている
,988,cheery,陽気な、元気な
,989,cowardly,卑怯な、臆病な
,990,immeasurable,計り知れない、果てしない、広大な
,991,impaired,～に障害のある、弱った、損なわれた
,992,impassable,(川・道などが)通行できない、(困難・障害などが)克服できない
,993,inactive,不活発な、停止中の
,994,inconvenient,不便な、不都合な
,995,superstitious,迷信深い、迷信の
,996,unpleasant,不愉快な、いやな
,997,wicked,悪意のある、意地の悪い
,998,ecological,環境の、生態(学)の
,999,imaginary,想像上の、架空の
,1000,ripe,熟した；成熟した
,1001,disguise,を（～に）変装させる（as）；を偽る
,1002,curb,を抑制する、を制御する
,1003,restrain,を制止する；を規制する
,1004,stumble,よろけながら歩く；（～に）つまずく（on/over）
,1005,diminish,を減らす；減少する（≒decrease）
,1006,rotate,回転する；循環する；を回転させる
,1007,compress,を要約する、を短縮する、を圧縮して詰め込む
,1008,decode,(暗号・符号)を解読する
,1009,offset,を相殺する，埋め合わせる；をオフセット印刷にする
,1010,bid,（～に）の値をつける（for/on）；（挨拶）を述べる
,1011,burst,破裂する；（～を）突然始める（into）
,1012,overtake,を追い抜く；に追いつく（≒catch up with）；（災難・強い感情などが）を襲う
,1013,retain,を保持する
,1014,litter,(場所)を散らかす
,1015,prohibit,を禁止する
,1016,discipline,を罰する、を訓練する
,1017,yield,を産出する、屈する、(権利など)を譲る
,1018,sweep,（を）掃く；を一掃する；さっと通過する
,1019,dictate,を指図する；を書き取らせる；を規定する
,1020,inject,（人）に注射する，を注入する；を導入する
,1021,urge,に熱心に勧める
,1022,mimic,をまねる
,1023,roam,（を）歩き回る；放浪する
,1024,assess,を査定する、を評価する
,1025,boast,を誇る；（を）自慢する
,1026,drag,を引きずる；ぐずぐずする
,1027,repay,を返済する
,1028,overthrow,(政府・体制など)を打倒する
,1029,fulfill,(約束・任務など)を果たす、(条件・要求など)を満たす
,1030,doom,〔通例受身形で〕運命にある
,1031,affiliate,を提携させる、を合併する
,1032,assault,に暴行する；を攻撃する
,1033,testimony,証言、証拠
,1034,errand,（人の）使い，使い走り；用件
,1035,friction,不和；摩擦
,1036,coalition,連立、合同
,1037,influx,(人・物の)殺到、(水・空気の)流入
,1038,curse,悪態，ののしりの言葉；呪い；〔通例a ～〕災い
,1039,app,アプリ
,1040,visibility,視界、視野、目に見えること
,1041,fabric,織物，布（地）；構造
,1042,collision,衝突；対立
,1043,dioxide,二酸化物
,1044,orbit,軌道
,1045,trial,裁判、試験、試み
,1046,literacy,(特定分野の)知識、技能、読み書きの能力
,1047,scheme,計画（≒plan）；体系；陰謀
,1048,completion,完了、完成
,1049,expertise,専門的知識[技術、意見]
,1050,diploma,卒業[修了]証書、(学位・資格の)証明書
,1051,livelihood,生計、生活手段
,1052,motive,動機
,1053,recession,不況；後退
,1054,surrounding,周囲の状況、環境
,1055,fortune,財産、幸運、運命
,1056,token,(気持ちなどの)しるし、記念品
,1057,trace,跡、形跡
,1058,venture,危険を冒して進む；を思い切ってする
,1059,physician,内科医、医師
,1060,perspective,観点
,1061,physics,物理学
,1062,legislation,法律；立法
,1063,barn,家畜小屋、(農家の)納屋
,1064,daring,大胆な、勇敢な
,1065,transparent,透明な；明快な
,1066,tragic,悲惨な、悲劇的な
,1067,sinister,邪悪な、不吉な
,1068,striking,著しい、目立つ
,1069,plural,複数の、2つ[2人]以上の、複数形の
,1070,vital,必要不可欠な
,1071,sensitive,敏感な、傷つきやすい
,1072,remarkable,注目に値する、著しい
,1073,minimal,最小(限度)の
,1074,bankrupt,破産宣告を受けた；破綻している
,1075,authentic,本物の；信頼できる
,1076,moderate,適度な；穏健な
,1077,alien,異質の、外国の
,1078,prompt,迅速な
,1079,random,無作為の、任意の
,1080,decisive,決定的な、断固たる
,1081,inevitable,避けられない、必然的な
,1082,acid,酸性の；酸っぱい；辛辣な
,1083,climatic,気候(上)の、風土の
,1084,incredible,信じられない、驚くほどの
,1085,precise,正確な、厳格な
,1086,invaluable,極めて貴重な[高価]な
,1087,stern,厳しい；いかめしい
,1088,indifferent,無関心な（≒uninterested）
,1089,charitable,慈善の、慈悲深い
,1090,massive,大量の、大規模な、巨大な
,1091,comparable,匹敵する、同様の
,1092,irrational,不合理な
,1093,cynical,冷笑的な，皮肉な
,1094,overly,あまりに、過度に
,1095,literally,文字どおり、まさしく
,1096,voluntarily,自発的に
,1097,technically,厳密に(言えば)、専門[技術]的に
,1098,wholly,完全に、全く
,1099,approximately,おおよそ、ほぼ
,1100,uniquely,比類なく、独特に
,1101,bewilder,（通例受身形で）当惑する
,1102,clutch,をぐっとつかむ
,1103,discard,を捨てる
,1104,enlist,入隊する、参加する、(支持・協力)を得る
,1105,heed,(助言・警告など)に注意する
,1106,liberate,を解放する
,1107,overlap,（一部）重なる；（と）重複［共通］する
,1108,reconstruct,を再建する、を改変する
,1109,shriek,悲鳴をあげる、甲高い声[音]を出す
,1110,sprain,(足首・手首など)をくじく、を捻挫する
,1111,resent,に憤慨する
,1112,thrive,繁栄する，うまくいく；繁茂する
,1113,embrace,を抱擁する、を(喜んで)受け入れる
,1114,excel,（～で）秀でている（in/at）；に勝る
,1115,enroll,登録する，入会する；を登録させる
,1116,retrieve,（情報）を検索する；を取り戻す；を回復する
,1117,degrade,の面目を失わせる、の質[価値]を低下させる
,1118,reconcile,を（～と）一致させる（with）；を和解させる
,1119,contaminate,を汚染する；を堕落させる
,1120,disrupt,を混乱させる；を分裂させる
,1121,divert,（注意など）をそらす；を迂回させる；（資金など）を転用する
,1122,grumble,不平を述べる
,1123,provoke,（感情・行動など）を引き起こす；を挑発する
,1124,outweigh,より価値がある、より重い
,1125,crave,(を)切望する
,1126,sustain,を持続させる、を支える
,1127,disclose,を公表する，暴く
,1128,tempt,を（...する）気にさせる（to do）；を引きつける
,1129,resign,（を）辞任する；を放棄する
,1130,dismiss,を解雇する、(意見など)を退ける
,1131,surpass,を上回る
,1132,bounce,跳ねる；反射する；を弾ませる；（Ｅメールが）（宛先不明で）返送される
,1133,bureau,（官庁の）局；事務局；案内所
,1134,dependency,依存、従属
,1135,discomfort,不快、不便
,1136,drawback,欠点、不利な点
,1137,feast,祝宴；大ごちそう；楽しみ
,1138,hydrogen,水素
,1139,modernization,近代化、現代化、最新式化
,1140,objective,目的、目標
,1141,poll,世論調査、投票(数)、投票所
,1142,ration,(食料・物資などの)割当(量)
,1143,revenue,歳入（⇔expenditure 歳出）；収益
,1144,scholarship,奨学金、学識
,1145,upbringing,(子供の)養育、しつけ
,1146,compliment,賛辞
,1147,excerpt,抜粋、引用
,1148,faith,信仰(心)、信用
,1149,segment,部分、区分
,1150,downturn,(景気などの)下降(状態)
,1151,temper,気質，気性；機嫌；かんしゃく
,1152,fragment,断片
,1153,intersection,(進路の)交差点
,1154,anarchy,無秩序、無政府状態
,1155,breakup,(人間関係の)解消、別れ
,1156,privilege,特権
,1157,exemption,(義務・責任などの)免除
,1158,monarch,君主
,1159,narrative,話、物語
,1160,sensation,漠然とした感じ、感覚、大騒ぎ
,1161,apprentice,見習い(工)、初心者
,1162,chore,雑用、家事、いやな仕事
,1163,dehydration,脱水(症状)
,1164,questionable,疑わしい
,1165,outdated,時代[流行]遅れの、旧式の
,1166,forthcoming,来るべき
,1167,gross,総計の；甚だしい；粗野な
,1168,overdue,支払期限を過ぎた、(予定の日時より)遅れた
,1169,contemporary,現代の、現代的な、同時代の
,1170,drastic,徹底的な，抜本的な；極端な
,1171,conditional,～しだいの、条件付きの
,1172,subjective,主観的な
,1173,exotic,外来の；異国風の
,1174,intensive,集中的な、徹底的な
,1175,obscure,（世に）知られていない；不明瞭な
,1176,tedious,退屈な
,1177,exclusive,高級な、排他的な
,1178,decent,まずまずの；きちんとした；上品な
,1179,considerate,思いやりのある
,1180,durable,長持ちする、丈夫な
,1181,perpetual,永続的な；ひっきりなしの
,1182,proficient,堪能な、熟達した
,1183,acoustic,音響の；聴覚の；（楽器が）アコースティックの
,1184,biographical,伝記の
,1185,botanical,植物の、植物学(上)の
,1186,brutal,残酷な、無情な
,1187,commendable,賞賛されるべき、立派な
,1188,desperate,絶望的な、強く望んで、必死の
,1189,extravagant,浪費する、(要求などが)過度な
,1190,filthy,汚い、不潔な
,1191,serene,穏やかな、平静な
,1192,valid,法律的に有効な、理にかなった
,1193,inherent,生来の，本来的に備わっている
,1194,merely,単なる、ただの、単に
,1195,somehow,何とかして、とにかく
,1196,subsequently,その後、続いて
,1197,deliberately,故意に、慎重に
,1198,gently,優しく、静かに
,1199,via,～の手段によって、～経由で
,1200,alongside,～と一緒に、～と並んで
,1201,portray,を描く；（の役）を演じる
,1202,dispatch,を派遣する；を発送する；を処理する
,1203,quote,が～と述べたと伝える、を引用する
,1204,amend,を改正する、を修正する
,1205,betray,をうっかり表す；を裏切る
,1206,wither,(植物などが)しおれる
,1207,omit,を省略する
,1208,fabricate,をでっち上げる、を組み立てる
,1209,violate,（法律・規則など）に違反する；を侵害する
,1210,allege,を主張する
,1211,integrate,を統合する；融合する
,1212,underestimate,（を）過小評価する；（を）軽く見る；を少なく見積もる
,1213,escort,を護衛[護送]する、に付き添う
,1214,facilitate,を促進する、を容易にする
,1215,initiate,を新たに始める
,1216,convey,を伝える、を運ぶ
,1217,populate,に住む，の住民である；に人を住まわせる
,1218,reinforce,を補強する、を強化する
,1219,attain,を獲得する，達成する；に達する
,1220,cheat,(試験で)カンニングをする、をだます
,1221,deceive,をだます（≒take in）
,1222,frustrate,に不満を抱かせる、を挫折させる
,1223,subsidize,に補助金[助成金]を支給する
,1224,alternate,代わりの；交互の
,1225,dedicate,を捧げる
,1226,endeavor,～しようと(懸命に)努力する、を(真剣に)試みる
,1227,intrigue,に興味を持たせる；陰謀を企てる
,1228,soar,急上昇する；空高く飛ぶ
,1229,tease,（を）からかう；をいじめる
,1230,confer,(賞・学位・栄誉・権利など)を授与する、相談する
,1231,forbid,を禁じる
,1232,nod,(頭)を軽く下げる、うなずく
,1233,oblige,に義務づける；に恩恵を施す
,1234,discontent,不満
,1235,disposal,処分、売却
,1236,exile,亡命（者）；（国外）追放
,1237,foe,敵
,1238,itinerary,旅行の日程、旅行計画
,1239,persecution,迫害
,1240,publication,出版(物)、発行
,1241,riddle,なぞなぞ、不可解な人[もの、事実]
,1242,sanitation,公衆衛生（学）；下水［衛生］設備
,1243,component,構成部品[部分、要素]
,1244,quota,割当量[数]、ノルマ
,1245,cuisine,（独特の）料理，料理法
,1246,detour,迂回(路)、回り道
,1247,inmate,(刑務所などの)収容者、入院患者
,1248,fatigue,(相当の)疲労
,1249,uproar,大騒ぎ、騒動
,1250,coincidence,偶然の一致
,1251,correspondence,通信、一致
,1252,ballot,投票、投票用紙、投票総数
,1253,competence,能力、資格
,1254,enterprise,事業、企業
,1255,hazard,危険（要素）；偶然
,1256,explosion,爆発、急激な増加
,1257,famine,飢饉；（食糧・物資の）ひどい不足
,1258,acceptance,受諾、受け取り
,1259,leftover,(特に食事の)残りもの
,1260,apprehension,不安、懸念
,1261,wreck,残骸、難破(船)
,1262,landmark,（ある場所の）目印；画期的な出来事
,1263,dweller,居住者
,1264,geometry,幾何学
,1265,standby,(いざというとき)頼りになるもの(人)、交替要因
,1266,diversity,多様性
,1267,accuracy,正確さ、的確さ
,1268,tap,(水道などの)蛇口
,1269,brick,れんが
,1270,bay,入江、湾
,1271,lenient,寛大な
,1272,stubborn,頑固な，強情な（≒obstinate）；手に負えない
,1273,clumsy,不器用な
,1274,perilous,とても危険な
,1275,adverse,不都合な；逆の
,1276,persistent,執拗な、固執する、持続する
,1277,outrageous,法外な、途方もない、けしからぬ
,1278,skeptical,（～に）懐疑的な（of/about）
,1279,legitimate,合法的な；妥当な
,1280,corrupt,を堕落させる；を買収する；堕落する
,1281,experimental,実験の、実験[試験]的な
,1282,improper,不適切な、無作法な
,1283,spontaneous,自然発生的な；自発的な
,1284,unconditional,無条件の、絶対的な
,1285,counterfeit,偽造の、偽の
,1286,dizzy,目まいがする；当惑した
,1287,sustainable,持続できる、維持できる
,1288,democratic,民主主義の、民主的な
,1289,conservative,保守的な
,1290,fundamental,基本的な、必須の
,1291,ambitious,(計画などが)野心的な、(人が)大志を抱いた
,1292,concrete,具体的な、明確な、コンクリート製の
,1293,cruel,残酷な
,1294,inferior,劣悪な、劣った
,1295,ample,十分すぎるほどの；広い
,1296,inaccurate,不正確な、誤りのある
,1297,inadequate,不十分な、不適当な
,1298,inappropriate,ふさわしくない、不適当な
,1299,uncertain,はっきり分からない、(人が)確信がない
,1300,vague,あいまいな、不明確な
,1301,retreat,引っ込む、退く
,1302,revolt,暴動[反乱]を起こす、をむかむかさせる
,1303,deflect,(人の注意・非難など)をそらす、の方向を変えさせる
,1304,demote,を降格する
,1305,despise,を軽蔑する、をひどく嫌う
,1306,grasp,を理解する、をしっかりと握る
,1307,summon,を呼び出す、を召喚する、(議会など)を招集する
,1308,expel,を追放する；を吐き出す
,1309,redeem,(失敗・欠点など)を補う、を埋め合わせる
,1310,comprise,から成る；を構成する
,1311,prevail,普及している；支配的である；（～に）打ち勝つ（over）
,1312,eject,を取り出す、を追い出す
,1313,falsify,を偽造する
,1314,obstruct,をふさぐ、を妨害する
,1315,depict,を描く
,1316,tremble,震える
,1317,confess,（を）告白する
,1318,stare,じっと見つめる
,1319,ache,痛む、うずく
,1320,reflect,を反映する、を反射する、熟考する
,1321,assert,を主張する
,1322,impose,(規則・税・罰金など)を課[科]す、を押しつける
,1323,interpret,を解釈する、を通訳する
,1324,devote,(努力・時間など)を捧げる、に専念する
,1325,deteriorate,(状況・質など)が悪化する
,1326,contemplate,（を）熟考する；を予想する
,1327,delegate,(権限・責任など)を委譲[委任]する、(人)を代表として派遣する
,1328,propel,を進ませる、(人)を駆り立てる
,1329,recede,後退する、退く
,1330,scrape,(泥・ペンキ・さびなど)をこすり取る、の表面をこする
,1331,smash,を粉砕する；を強打する；粉々に壊れる；激突する
,1332,scold,(特に子供)をしかる
,1333,amuse,を楽しませる
,1334,overhaul,(システムなど)を総点検する、を分解修理する
,1335,herd,(牛・羊などの)群
,1336,bait,誘惑物、(釣り針・わなにつける)餌
,1337,petition,請願(書)、嘆願(書)
,1338,ransom,身代金、(身代金などによる)解放
,1339,fragrance,芳香
,1340,insight,見識、洞察力
,1341,conquest,征服、(欠点・課題などの)克服
,1342,sincerity,誠実
,1343,tariff,関税
,1344,sanction,制裁(措置)、認可
,1345,sphere,領域；球体；天体
