Revised,Number,Vocabulary,Meaning
,1346,outcast,見捨てられた人、浮浪者
,1347,affair,事情、事柄、問題
,1348,scandal,スキャンダル、不正行為
,1349,allergy,アレルギー
,1350,destruction,破壊、破滅
,1351,peasant,(発展途上国などの)小作人、貧農
,1352,burden,負担、重荷、荷物
,1353,faculty,(大学・学部の)教授陣、学部、才能、能力
,1354,tactics,作戦，方策；戦術，戦法
,1355,fare,(乗り物の)運賃、料金
,1356,manner,方法、風習、行儀、作法
,1357,correlation,相互[相関]関係
,1358,weed,雑草、草
,1359,command,命令、指図、(外国語などを)自由に使える能力
,1360,quarter,４分の１、(都市の特定の)地区、四半期
,1361,availability,(入手の)可能性、有用[有効]性
,1362,caution,用心、注意、警戒、警告
,1363,prevention,予防、防止、妨害
,1364,reptile,爬虫類(動物)
,1365,fate,運命、(最終的な)結末
,1366,inclination,意向、願望、好み
,1367,scorn,軽蔑、侮蔑
,1368,contempt,軽蔑；恥辱
,1369,domain,分野；領域；ドメイン
,1370,pillar,柱、支柱
,1371,tender,柔らかい、優しい
,1372,awkward,ばつの悪い、気まずい、ぎこちない
,1373,fierce,猛烈な；どう猛な
,1374,peculiar,変な、特有の
,1375,genuine,本物の
,1376,vigorous,精力的な；激しい；活力のある
,1377,gloomy,陰気な；薄暗い；悲観的な
,1378,medieval,中世の
,1379,subtle,微妙な、かすかな
,1380,rigid,厳しい；硬直した
,1381,coarse,粗い、粗野な
,1382,humble,謙虚な、地位[身分]などが低い
,1383,slack,たるんだ、(商売などが)不活発な
,1384,trivial,取るに足らない
,1385,mutual,相互の
,1386,redundant,不要な、余分な、(表現などが)冗長な
,1387,premature,早過ぎる、(判断などが)早まった
,1388,attentive,注意深い
,1389,integral,不可欠な、必要な
,1390,memorable,忘れられない、記憶すべき
,1391,persuasive,説得力のある
,1392,prevalent,蔓延している、広く行き渡っている
,1393,unaware,気づかないで、知らないで
,1394,worthwhile,(時間・労力・金をかける)価値のある
,1395,amazing,驚くべき
,1396,eligible,適格の，資格のある；（結婚相手として）望ましい
,1397,vicious,悪意[敵意]のある、乱暴な
,1398,invisible,見えない
,1399,invalid,(法的に)無効な
,1400,rotten,(食べ物などが)腐った、(道徳的に)腐敗した
,1401,plague,疫病；（害虫などの）異常発生
,1402,sponsor,に資金を提供する、を後援する
,1403,honor,を賞賛する、に与える、を尊敬する
,1404,remark,～と述べる
,1405,incorporate,を取り[組み]入れる
,1406,resolve,(問題など)を解決する、を決意する
,1407,sway,(ゆっくりと)揺れる、動揺する
,1408,inherit,(遺伝で)を受け継ぐ、を相続する
,1409,pile,を大量に積む、を積み重ねる、積み重なる
,1410,renovate,を改修[改築]する
,1411,maximize,を最大限にする
,1412,uncover,(遺跡など)を発掘する、の覆いを取る、を明るみに出す
,1413,mislead,に誤った考えを持たせる、を欺く
,1414,opt,選ぶ
,1415,outnumber,より数で勝る
,1416,presume,と思う；と推定する；を前提とする
,1417,refine,を洗練する；を精製する
,1418,stir,をかき回す；を揺り動かす
,1419,strive,懸命に努力する
,1420,thrill,をわくわく[ぞくぞく]させる
,1421,tighten,を固く締める、を強化する
,1422,arouse,（感情など）を引き起こす；を目覚めさせる
,1423,buzz,(場所が)ざわつく、どよめく
,1424,converge,集まる、集中する
,1425,deduct,を控除する、を減じる
,1426,disconnect,(人)のインターネットへの接続を切る、の接続を断つ
,1427,gossip,うわさ話をする
,1428,wander,(当てもなく)歩き回る、ぶらつく
,1429,suck,（を）吸う；（を）しゃぶる
,1430,dye,を～色に染める、を染める
,1431,trespass,(不法)侵入する、侵害する
,1432,graze,(家畜などが)牧草を食べる
,1433,entrust,AにBを任せる
,1434,peer,同僚、仲間、同等[対等]の者
,1435,molecule,分子、微粒子
,1436,meantime,その間
,1437,merit,価値、優秀さ、長所
,1438,prospect,見込み、見通し、期待
,1439,chatter,くだらないおしゃべり
,1440,funeral,葬式
,1441,methodology,方法論、研究方法
,1442,bundle,束、包み
,1443,burglar,強盗、泥棒
,1444,canyon,峡谷
,1445,duration,（時間の）継続，持続（時間）
,1446,fountain,噴水、源泉、湧き水
,1447,genius,天賦の才、天才(的な人)
,1448,grassland,牧草地、草原
,1449,interval,（時間の）間隔；合間；隔たり；小休止
,1450,longevity,長寿；寿命；長年勤続
,1451,mode,方法、様式
,1452,needle,針、縫い針、編み針
,1453,organizer,主催者、まとめ役、幹事
,1454,rehearsal,(劇・音楽などの)リハーサル、下げいこ
,1455,servant,(特に住み込みの)使用人、召使
,1456,sociology,社会学
,1457,spectacle,(印象的な)光景、壮観、見もの
,1458,norm,標準、規範、典型
,1459,certificate,証明書；免許状
,1460,vice,悪習、悪
,1461,knot,結び目、結び方
,1462,rubber,ゴム、ゴム製品
,1463,asteroid,小惑星
,1464,syndrome,症候群、シンドローム
,1465,detention,拘置、留置
,1466,distress,苦悩、苦痛
,1467,ignition,(エンジンの)点火装置、点火
,1468,esteem,尊敬、尊重
,1469,hospitality,親切なもてなし，歓待；受容性
,1470,legacy,遺産
,1471,sane,(考え方などが)健全な、分別のある、正気の
,1472,doubtful,(物・事が)疑わしい、(人が)疑わしく思う
,1473,favorable,好意的な、好ましい
,1474,generous,気前のよい、寛大な
,1475,hollow,空洞の；空虚な；うわべだけの
,1476,internal,内部の、内側の、国内の
,1477,interpersonal,人間[対人]関係の
,1478,staple,必需食品；主要産物
,1479,tolerant,寛容な、包容力のある
,1480,folk,民間(起源)の、民衆の
,1481,furious,激怒した；猛烈な
,1482,ironic,皮肉な、反語的な
,1483,pale,(人・顔色などが)青白い、血の気を失った、(色が)淡い、薄い
,1484,pregnant,妊娠した
,1485,rewarding,満足感が得られる、報われる
,1486,sacred,神聖な、聖なる、宗教的な
,1487,terrific,素晴らしい、すてきな
,1488,abridged,簡約[短縮]された
,1489,dull,退屈な、頭が鈍い
,1490,faint,かすかな；めまいがする；弱々しい
,1491,irresponsible,無責任な
,1492,notorious,悪名高い（≒infamous）
,1493,recurrent,(周期的に)繰り返される、(病気などが)再発する
,1494,irresistible,抵抗できない、非常に魅力的な
,1495,binding,拘束力のある、義務を負わせる
,1496,dejected,落胆した、元気のない
,1497,fictitious,架空の、偽りの
,1498,gracious,親切な、丁寧な
,1499,upcoming,やがて起ころう[現れよう]としている、来るべき
,1500,abundant,豊富な
,1501,grind,（穀物など）をひく
,1502,archive,〔しばしば～s〕記録文書，公文書；公文書保管所；（コンピューターの）アーカイブ
,1503,devise,を考案する
,1504,precede,に先行する
,1505,horrify,を怖がらせる
,1506,lodge,(苦情・抗議など)を申し出る、を預ける、を泊める
,1507,mediate,調停する、仲裁する
,1508,mingle,付き合う、仲間に入る、混ざる
,1509,perspire,汗をかく
,1510,concede,(しぶしぶ)～と認める
,1511,hinder,を妨げる
,1512,waver,(心が)揺れ動く、迷う
,1513,formulate,(計画など)を(注意深く)まとめる、を明確に述べる
,1514,exhale,(息・煙・言葉など)を吐き出す
,1515,rebound,(ボールなどが)跳ね返る
,1516,gratify,を喜ばせる、を満足させる
,1517,pledge,を誓う，約束する；を与えることを約束する
,1518,fasten,をしっかり留める、を固定する
,1519,relay,を伝達する、を取り次ぐ、を中継で送る
,1520,align,を一直線に並べる
,1521,ascend,（を）上がる
,1522,gaze,じっと見る
,1523,adore,が大好きである、を敬愛する
,1524,chill,(食べ物・飲み物など)を冷やす、冷える
,1525,curve,カーブする、曲がる
,1526,deflate,(タイヤ・風船などが)しぼむ、をしぼませる
,1527,detach,を分離する、を取り外す
,1528,enclose,を同封する；を取り囲む
,1529,fetch,を（行って）持って［連れて］くる
,1530,proclaim,を宣言する
,1531,forge,を偽造する；（関係など）を築く；を鍛造する
,1532,outburst,(火山・怒り・笑いなど)の爆発
,1533,dimension,局面、寸法、規模、次元
,1534,swarm,大群
,1535,sequel,続編、結果
,1536,artifact,人工遺物、工芸品
,1537,mercy,慈悲；〔通例a ～〕幸運
,1538,successor,後継者、相続人
,1539,triumph,(大)勝利、成功
,1540,clause,(法律・条約などの)条項、(文の)節
,1541,analogy,類推；類似
,1542,downfall,破滅、転落、(雨・雪などの)大降り
,1543,fusion,融合(物)、(政府などの)連立
,1544,fracture,骨折、割れ目、裂け目
,1545,menace,困りもの、危険人物、脅威
,1546,setback,(進歩・発展の)妨げ、支障
,1547,empathy,共感、感情移入
,1548,tumble,転倒、(株価などの)暴落
,1549,diameter,直径
,1550,momentum,勢い、はずみ
,1551,troop,軍隊、兵隊
,1552,pharmacy,薬屋、薬局
,1553,nightmare,悪夢、(悪夢のような)恐ろしい経験
,1554,slope,坂、斜面
,1555,glacier,氷河
,1556,grief,(死などに対する)深い悲しみ、悲痛
,1557,misery,惨めさ、悲惨さ
,1558,accent,なまり、方言
,1559,ambassador,大使
,1560,autopsy,検死
,1561,blast,爆発、爆破、突風
,1562,courtesy,礼儀正しさ；好意；優遇
,1563,deed,(意図的な)行為、行い
,1564,discourse,話し合い，会話；講演；論説
,1565,impulse,衝動
,1566,jar,(広口の)びん、つぼ
,1567,sibling,兄弟姉妹(の１人)
,1568,enthusiasm,熱狂、熱中
,1569,treasure,宝物、貴重品
,1570,horizontal,水平な
,1571,indefinite,限定されない、不定の、はっきりしない
,1572,vulgar,下品な、無作法な
,1573,resilient,回復力のある、弾力(性)ある
,1574,aquatic,(動植物が)水生の、水の
,1575,insistent,強く主張する、執拗な
,1576,frantic,大急ぎの、気が狂いそうな
,1577,deceptive,人を惑わすような
,1578,illogical,筋の通らない、不合理な
,1579,elaborate,精巧な、入念な
,1580,mellow,(性格が)円熟した、柔らかくて豊かな[美しい]
,1581,boundless,無限の
,1582,cordial,心温まる、心からの
,1583,seasonal,季節(ごと)の
,1584,sour,酸っぱい
,1585,swift,素早い
,1586,cumulative,累積する、しだいに増加する
,1587,savage,残酷な、凶暴な
,1588,admirable,賞賛に値する、素晴らしい
,1589,informative,有益な、情報[知識]を提供する
,1590,proportional,釣り合った、比例した
,1591,simultaneous,同時に起こる
,1592,static,変化[進歩]のない
,1593,uneasy,不安な、心配な、落ち着かない
,1594,unequal,(権利などが)不平等な
,1595,autonomous,自治の、自主的な
,1596,bold,大胆な、勇敢な
,1597,pessimistic,悲観的な
,1598,repetitive,繰り返しの
,1599,respiratory,呼吸器に関する、呼吸の
,1600,coherent,一貫した，筋の通った；結束した
,1601,account for ～,(割合・分量など)を占める、～(の理由)を説明する
,1602,accuse A of B,AをBの罪で告訴する、AをBの理由で非難する
,1603,act on ～,(忠告・情報など)に従って行動する、～に影響を及ぼす
,1604,act out ～,(物語・経験など)を身振りで実演する
,1605,add up to ～,(合計が)～になる、結局～ということになる
,1606,adhere to ～,(信念・規則など)を順守する、～に固執する
,1607,air out ～,(部屋など)を換気する、(衣類・寝具など)を外気に当てる
,1608,all but,ほとんど
,1609,allow for ～,～を考慮に入れる、～を見込む
,1610,answer for ～,～の責任を負う、～の罰を受ける
,1611,aspire to do ～,～することを熱望[切望]する
,1612,attribute A to B,AをBのせいと考える
,1613,back down,撤回する、敗北[非]を認める
,1614,back off,手を引く、撤回する、後退する
,1615,back up ～,～を裏付ける、～を支援する、(ファイルなど)のコピーを取る
,1616,back on ～,～を当てにする
,1617,be committed to ～,～に献身している
,1618,be destined to do ～,～する運命である
,1619,(be) free of ～,(料金・税金など)がない、～免除されている
,1620,be obsessed with ～,(妄想・固定観念など)に取りつかれている
,1621,be subject to ～,(病気など)にかかりやすい、(影響など)を受けやすい
,1622,blast off,打ち上げられる、発射される
,1623,blow up,(かんかんに)怒る、爆発する
,1624,bounce back,(打撃・病気などから)回復する、立ち直る
,1625,branch off,(話題が)変わる、(わき道に)それる
,1626,break away from ～,(伝統・習慣など)を断つ、(束縛など)から逃れる
,1627,break down,決裂する、失敗する、故障する
,1628,break off ～,～を中断する、～を急にやめる
,1629,break out,勃発する、(伝染病などが)発生する
,1630,bring about ～,～を引き起こす、～を招く
,1631,bring down ～,(人・政府など)を(打ち)倒す
,1632,bring off ～,～をやってのける、～を成し遂げる
,1633,bring on ～,(災い・病気など)をもたらす
,1634,bring out ～,(才能・性質など)を引き出す、～を発揮させる
,1635,bump into ～,～にばったり出会う
,1636,burn out ～,(人)を疲れ果てさせる、～を燃え尽きさせる
,1637,by means of ～,～用いて、～によって
,1638,call for ～,～を必要とする、～を要求する
,1639,call off ～,～を中止する
,1640,call on ～,～を訪ねる、(人)に頼む
,1641,carry away ～,無我夢中になる、～を持ち去る
,1642,carry through ～,～を成し遂げる、～を成就させる
,1643,catch up on ～,(近況など)について新しい情報を知る、～の遅れを取り戻す
,1644,check off ～,～にチェックマークをつける
,1645,chip in ～,(金・労力などを)出し合う
,1646,clean out ～,～の中をきれいにする、～を空にする
,1647,clear out ～,～の中身を出してきれいに片付ける、～を空にする
,1648,clear up (～),(誤解など)を解く、(問題など)を解明する、～片付ける、晴れる
,1649,close in (on ～),(～を)包囲する、(～に)追ってくる
,1650,come after ～,～の後をつける、～を追跡する
,1651,come before ～,(問題などが)(法廷など)で審議される、(法廷など)に出頭する
,1652,come down to ～,要するに～ということになる
,1653,come down with ～,(軽い病気)にかかる
,1654,come into ～,～の状態になる
,1655,come off,結局～になる、行われる
,1656,come through,要求に応える、伝えられる
,1657,comply with ～,(規則・基準など)に従う
,1658,contribute to ～,～の一因となる、～に寄与[貢献]する～に寄付する
,1659,cope with ～,～うまく処理する、～に対処する
,1660,count for ～,～の価値がある
,1661,count on ～,～を当てにする
,1662,cover for ～,～の代わり[代理]を務める
,1663,cover up ～,～(の事実)を隠す、～を秘密にする
,1664,crack up,神経が参る、気が変になる、大笑いする
,1665,cross out ～,～を線を引いて消す
,1666,cut back (on ～),(～を)削減[縮小]する
,1667,cut down (on ～),(～を)減らす
,1668,cut in (on ～),(話などに)割り込む、さえぎる
,1669,deal in ～,(商品)を商う、(仕事など)に従事する
,1670,deprive A of B,AからBを奪う
,1671,die down,静まる、衰える
,1672,die out,絶滅する
,1673,dispose of ～,～を処分する、を捨てる
,1674,do away with ～,～を廃止する、～を取り除く
,1675,drag on,(会議などがだらだらと)長引く
,1676,drag out ～,～を(必要以上に)長引かせる
,1677,draw on ～,(技術・経験など)に頼る、～を利用する
,1678,draw up ～,(計画)を立てる、(報告書など)を作成する
,1679,dream up ～,(奇抜な考え・計画など)を思いつく、～を考え出す
,1680,drive off [away] ～,～を追い払う
,1681,drive up ～,(価格など)を急速に上昇させる
,1682,drop back (to ～),(～に)後退する、順位が下がる
,1683,drop out (of ～),(活動・集団から)身を引く、(学校を)中途退学する
,1684,ease into ～,(仕事など)に徐々に慣れる
,1685,eat up ～,～を使い果たす、～を食べ尽くす
,1686,embark on [upon] ～,(事業など)に乗り出す、～に着手する
,1687,endear A to B,AをBに慕わせる
,1688,even up ～,～を等しくする、～を均等にする
,1689,face off,対決する
,1690,fall away,減少する、弱まる、衰える
,1691,fall back on ～,～を当てにする
,1692,fall for ～,(うまい話・売り込みなど)に乗せられる、～に強く引きつけられる
,1693,fall off,(数・量が)減少する、(質が)低下する
,1694,fall on ～,(責任・仕事などが)～に降りかかる、(記念日などが)～に当たる
,1695,fall through,(計画などが)駄目になる、失敗する
,1696,fall under ～,(影響・監督など)を受ける
,1697,feel for ～,～に同情する、～を思いやる
,1698,figure out ～,～を理解する、～を解決する
,1699,fill out ～,(書類)に必要事項を記入する
,1700,fire up ～,～始動させる、～に火をつける
,1701,fit into ～,～に溶け込む、～に収まる
,1702,fix up ～,～を修理する、～を改装する
,1703,for all ～,～にもかかわらず、～を考慮しても
,1704,for the time being,当分の間(は)、さしあたり
,1705,force down ～,(感情など)を抑える
,1706,free up ～,～を自由化する、～解放する
,1707,frown on [upon] ～,～に難色を示す、～に不賛成の意を表す
,1708,gear up ～,準備をする
,1709,get around (～),あちこち動き回る、歩き回る、～をうまく避ける、～を逃れる
,1710,get around to doing ～,～をする余裕[暇]ができる
,1711,get away with ～,～を(罰などを受けずに)うまくやる
,1712,get by ～,何とかやっていく、通り抜ける
,1713,get down to ～,～本気で取りかかる
,1714,get in on ～,～に参加する、～に加わる
,1715,get into ～,(本・映画・音楽など)に夢中になる、(ある状態)になる
,1716,get on with ～,(仕事など)を続ける、(人)とうまくやっていく
,1717,give away ～,(秘密・答えなど)をばらす、～をただで与える、～を安く売る
,1718,give in (to ～),(～に)降参する、屈する、負ける
,1719,give off ～,(光・音・においなど)を発する
,1720,give A over to B,AをBに預ける、AをBに引き渡す
,1721,give rise to ～,～の原因となる、(悪い事態)を生じさせる
,1722,go back on ～,(約束など)を破る
,1723,go for ～,～を選ぶ
,1724,grow into ～,(成長して)(服など)を着られるようになる
,1725,grow on ～,(人)の気にいるようになる、(習慣などが)～の身につてくる
,1726,grow out of ～,(成長して)(行為・習慣など)から脱する、～から生じる
,1727,hand down ～,(伝統・慣習など)を(後世に)伝える、(判決など)を言い渡す
,1728,hand off ～,～を任せる、～を引き渡す
,1729,hand out A (to B),(Bに)Aを配る
,1730,hang around (～),(～を)ぶらつく、うろつく
,1731,hang on,(少し)待つ、電話を切らずにおく
,1732,hang up ～,(電話を)切る
,1733,head off (～),～を阻止する、～を回避する、出かける、立ち去る
,1734,head out,出かける、立ち去る
,1735,hold back ～,～を抑えておく
,1736,hold off ～,～を引き延ばす、～を延期する
,1737,hold out (～),(敵・逆境・圧力などに)もちこたえる、～を差し出す
,1738,hold over ～,続映[続演]される、～を延期する
,1739,in a row,連続で
,1740,in favor of ～,～に賛成して、～を支持して
,1741,in response to ～,～に応えて、～に応じて
,1742,in terms of ～,～の観点から
,1743,in the event of ～,(万一)～の場合には
,1744,in vain,無駄に、効果なく、～にすぐ飛びつく
,1745,jump at ～,～にすぐ飛びつく
,1746,keep track of ～,(人の動向・情勢など)に注意している、～の跡をたどる
,1747,keep up with ～,(時勢・流行・人・仕事・勉強など)に遅れずについていく
,1748,kick around ～,(計画・提案など)をあれこれ検討する
,1749,kick in,(薬などが)効き始める、機能し始める
,1750,kick off A (with B),(Bで)Aを開始する
,1751,kick A out (of B),(Bから)Aを追い出す[首にする]
,1752,knock down ～,～を取り壊す、～を解体する、～を殴り倒す
,1753,lay into ～,～を厳しく非難する、～を攻撃する
,1754,lay off ～,(一時的にまたは永久に) ～を解雇する
,1755,leave off (～),(～を)やめる
,1756,let alone ～,まして～、～は言うまでもなく
,1757,let down ～,～を失望させる、～(の期待・信頼)を裏切る
,1758,let out ～,(声など)を出す、(感情)を表す、～を外に出す
,1759,let up,手を緩める、(望ましくないことが)弱まる、(風雨などが)やむ
,1760,level off [out],横ばいになる、安定する
,1761,lift off,(飛行機などが)離陸する
,1762,live up to ～,(期待など)に応える、(規範など)に従って行動する
,1763,lock in ～,～を固定する、(鍵をかけて)～を閉じ込める
,1764,look down on ～,～を見下す、～を軽蔑する
,1765,make (both) ends meet,(収支を合わせて)収入内で何とかやりくりする
,1766,make do with ～,(あり合わせのもの)で済ます
,1767,make it,間に合う、成功する、(会合などに)出席できる
,1768,make out (～),～を理解する、うまくやる
,1769,make over ～,～を作り変える、～変身させる
,1770,mark down ～,～を値下げする、～を書き留める
,1771,mark out ～,(線などで)～を区画する、～を区切る
,1772,miss out on ～,(機会・好機など)を逸する
,1773,narrow down ～,(範囲など)を制限する、～を狭くする
,1774,on a ～ basis,～の基準で、～の原則で
,1775,on [in] behalf of A,Aを代表して、Aに代わって
,1776,on the contrary,それどころか、まるで反対で
,1777,on the spot,その場で、即座に
,1778,on the verge of ～,～の間際[寸前]で
,1779,over the hump,難局を脱して、峠を越して
,1780,owing to ～,～のために、～の理由で
,1781,pack up,(仕事などが終わって)持ち物をまとめる、荷造りする
,1782,pass for ～,～で通る、～と見なされる
,1783,pass off A (as B),Aを(Bだと)偽る
,1784,pass A on (to B),A(もの・情報・病気・利益など)を(Bに)伝える[渡す]
,1785,pass out,気絶する
,1786,pay off ～,(借金など)を全部支払う
,1787,phase out ～,～を段階的に廃止[排除]する
,1788,pick over ～,～念入りに調べて選ぶ、～を吟味する
,1789,pick through ～,～の中をくまなく探す
,1790,pile up,(仕事・借金などが)どんどんたまる、山積する
,1791,pin down ～,～を押さえつける、～を動けなくする
,1792,play down ～,～を(実際より)重要でないように見せようとする
,1793,play out (～),(物事・状況が)展開する、徐々に進展する、～を最後まで演じる
,1794,play up ～,～を誇張する、～強調する
,1795,point to ～,(状況・証拠などが)～を示す、(大事な点・理由など)を指摘する
,1796,pull back (～),後退する、～を後退させる、思いとどまる
,1797,pull in ～,(観客・客など)を引きつける、(利益・金など)を得る
,1798,pull off ～,(困難なこと)をやってのける
,1799,pull through ～,(病気・苦境など)を切り抜ける
,1800,push for ～,～を要求する、～を得ようと努める
,1801,push through ～,(議案など)を通す、～を突き進む
,1802,put down ～,(金額)を手付金として払う、～を書き留める
,1803,put forth ～,(力など)を発揮する、(計画・案など)を提出する
,1804,put toward ～,～を提案[提出]する
,1805,put in ～,(設備など)を備え付ける、(金・時間・精力など)をつぎ込む
,1806,put A through (to B),Aの電話を(Bに)つなぐ
,1807,read off ～,(リストなど)を読み上げる
,1808,refrain from doing ～,～するのを控える、～するのをやめる
,1809,regardless of ～,～に(も)かかわらず、～にかまわず
,1810,roll in (～),(金など)がたくさんある、転がり込む、どっと集まる
,1811,roll up ～,～をくるくると巻く、(そで・すそ)をまくり上げる
,1812,round off ～,～を締めくくる、～をうまく終える
,1813,round up ～,(散らばった人など)を集める、～を逮捕する
,1814,rule out ～,～を排除する、～を除外する
,1815,run against ～,～に不利になる
,1816,run down ～,(車・運転手が)～をひく、～のことを悪く言う、～を突き止める
,1817,run through ～,ざっと～を読み上げる[に目を通す]
,1818,scoop up ～,～を抱き上げる、～をすくい上げる
,1819,scratch out ～,～を削除する、やっと(生計)を立てる
,1820,see about ～,～を検討する、～を手配する、～を何とかする
,1821,see A off,(空港・駅などで)Aを見送る
,1822,see through ～,～を見抜く、～を見破る、～を通して見る
,1823,sell out,(期待を)裏切る、(ものが)売り切れる
,1824,send for ～,(人・助けなど)を呼ぶ、～に来てもらう
,1825,send out for ～,(食べ物)の出前を頼む
,1826,set aside ～,(時間・金など)をとっておく、～をわきへどける
,1827,set down ～,～を書き留める
,1828,set in,(季節・流行・好ましくないものなどが)始まる、起こる
,1829,set off (～),出発する、～を引き起こす、～を作動させる
,1830,set out to do ～,～することに着手する、～し始める
,1831,set up ～,(会合など)を準備する、～を設置する、(会社・組織など)を作る
,1832,settle down,ゆったりとくつろぐ、落ち着く、定住する
,1833,settle up (with ～),(～と)精算する、(～に)勘定を支払う
,1834,shake up ～,～を刷新する、～を動揺させる、～を奮い立たせる
,1835,show off (～),いいところを見せる、～を見せびらかす
,1836,show up,現れる、やってくる
,1837,sign up for ～,(署名して)～に参加する、(受講など)の届けを出す
,1838,single out ～,～を(特に)選び出す
,1839,sink in,十分に理解される、分かってもらう
,1840,sit back,何もしないで[手をこまねいて]いる、くつろぐ、(いすに)深く座る
,1841,sit by,(悪い事態を)黙って見ている、傍観する
,1842,sit in,参加する、見学[参観]する、代理を務める
,1843,skim over ～,～をざっと見る、～表面的に扱う
,1844,slip by,(時・機会が)いつの間にか過ぎる
,1845,smooth over ～,(話し合いをして)(問題・困難など)を処理しやすくする
,1846,speak for ～,～を代表して意見を述べる、～を代弁する、～への支持を表明する
,1847,split up (～),別れる、分裂する、～を分裂させる
,1848,spring from ～,～から生じる、(人が)～の出である
,1849,spring up,急に生まれる、急成長する
,1850,stand down (as ～),(公職など)を辞任する
,1851,stand for ～,～の略である、～を意味する、～を支持する
,1852,stand up to ～,～に抵抗する、～に立ち向かう、～に耐える
,1853,stay off ～,(健康のため)～を控える、～に近づかない
,1854,step down [aside],辞任する
,1855,stick around,そこらで待つ、帰らずにいる
,1856,stick to [by] ～,(主義など)を堅持する、～をやり続ける
,1857,stick up for ～,～をあくまでも擁護する、～を支持する
,1858,stick with ～,～を最後までやり抜く、～を続けてする
,1859,stir in ～,～を入れてかき混ぜる
,1860,stir up ～,(騒ぎなど)を引き起こす、(想像力・記憶など)をかき立てる
,1861,sum up ～,～を要約する
,1862,take in ～,～を摂取する、(光景など)を観察する、～をだます、～を理解する
,1863,tale on ～,(特にきつい仕事・責任)を引き受ける
,1864,take over ～,～を引き継ぐ、～を買収する、～を占領する
,1865,take up ～,～を趣味[職業・学問]として始める、(問題など)を取り上げる
,1866,talk down to A,Aを見下した調子で話す
,1867,talk A into doing ～,Aを説得して～させる
,1868,talk up ～,(人・もの)を実際以上に興味深いもののように話す
,1869,tear down ～,～を取り壊す、～を解体する、～を殴り倒す
,1870,tell on ～,(特に子供が)～のことを告げ口する、～にこたえる
,1871,the other way around,(方角・事情などが)逆に[で]
,1872,throw off ～,(衣服など)をさっと脱ぐ[脱ぎ捨てる]、～を払いのける
,1873,throw up (～),嘔吐する、(食べ物)を吐く
,1874,tidy up ～,(部屋・家・机など)を片付ける、～を整理する
,1875,tie up ～,忙しくて身動きできない、～を固く縛る
,1876,tip over (～),ひっくり返る、倒れる、～をひっくり返す
,1877,touch up ～,(絵・文章・化粧など)を手直しする、～を修正する
,1878,track down ～,～を追跡して捕らえる、～を追い詰める
,1879,trip up (A),Aをつまずかせる、つまずく、しくじる
,1880,try out ～,～を試してみる、～の効果を試す
,1881,tune in (to ～),(局・番組などに)テレビ[ラジオ]のチャンネルを合わせる
,1882,tune up (～),(楽器)を調律する、(エンジン・機械など)を整備する、調律する
,1883,turn around (～),(商売・経済など)を好転させる、～の向きを変える、好転する
,1884,turn away ～,～を追い払う、(客など)の入場を断る、～を背ける
,1885,turn in (～),～を提出する、寝る
,1886,turn out,であることがわかる、集まる
,1887,turn to ～,～に頼る、(犯罪・悪習など)に走る、～に取りかかる
,1888,walk off [away] with ～,～を盗む、(賞など)をあっさり手に入れる
,1889,wander off,はぐれる、(道路・場所から)外れる、(主題から)脱線する
,1890,want for ～,～を欠いている
,1891,wash away ～,～を洗い流す、(記憶・感情など)を洗い去る
,1892,wash down ～,(食べ物など)を流し込む、～を洗い流す
,1893,watch over ～,～の世話をする、～を見守る、～を監視する
,1894,wear off,(薬効・印象・痛みなどが)しだいに弱まる、すり減ってなくなる
,1895,wear out ～,～を疲れ果てさせる
,1896,weigh on ～,～に重くのしかかる、～を圧迫する、～を苦しめる
,1897,win over ～,～を説得する
,1898,wipe out ～,～を消滅[絶滅]させる、～を撲滅する
,1899,work out ～,(計画・対策など)を練る、(問題)を解決する、～を計算する
,1900,wrap up ～,(仕事・交渉など)を滞りなく終える



